Text,H1,H2,H4,H5,H6,H7,H9,H10,polarity
ضعيف. لا شيء. تسجيل الدخول كان بطئ جداً جداً والسعر مرتفع مقارنةً بالخدمات,0,0,0,0,0,0,1,1,negative
تطبيق سيئ ولايستحق نجمه وسائقين غير مهذبين وتاخير في توصيل الطلب واداره فاشله كل مشكله لاتسمع سوى نعتذر منك ولايتم اتخاذ قرارت حاسمه بخصوص الشكاوي المقدمه ولم يتم الرد على البريد الالكتروني وضعت نجمه لاجل التعليق فقط,0,0,0,1,1,1,1,0,negative
“لا انصحكم فيه”. لم يعجبني شىء. الازعاج و اصوات الاغاني,0,0,0,1,0,0,0,0,negative
“اسوء تجربة”. . الفندق قديم جدا وريحة الممرات مزعجة والسعر لايتناسب ابدا مع مستوى الفندق,1,0,1,0,0,0,0,1,negative
“سيئ :(”. للأمانة تصميم الفلة والحديقة جيد. - الناموس يكرهك عيشتك- المسبح بدون سخان :(- تحس انك بسجن ماتطلع الامشوار للسيارة وعربة القولف تتصل ع الشباب محد يرد ( اطلع مشي الله لايهينك)- الواي فاي موجود بس ماعرفت اشغلة الجهاز مطفي كامل بس منضر وتتصل محد يرد- تحس انك مقطوع من شجرة لا محلات قريبة ولا ,0,0,1,1,1,1,0,0,negative
البرنامج لايعمل حاليا .. من فتره ويقوم بكتابه رساله بحل العطل ولكن دون جدوي وانا في شده الاستياء 👎,0,0,0,1,1,0,1,0,negative
مخيب للأمل. الموقع جيد. اصوات السيارات داخل الغرفة رغم سكني في الدور 11رائحة سيئة في الغرفة والممرات.الانترنت مدفوع (70 درهم / يوم).تلقيت اتصال من الاستقبال قبل يومين من المغادرة يقول أنك لم تسدد 33 درهم قيمة كوي ملابس.تنظيف الغرفة الساعة 4 م أثناء ما كنت نائم على الرغم عدم طلبي ذلك.عدم تجاوب ادارة الفندق مع متطلبات العميل وملاحظاته.لا يوجد في الفندق أي خدمات.,0,0,0,0,1,1,1,1,negative
“طاقم التنظيف كسول ”. قربه من دبي . ونظيف وسعره . طاقم التنظيف المزعج وبقاء سلال الشراشف المتسخة في الادوار والمواقف الضيقه والنادي الصحي من العصر العصر الحجري. سوتلهم صجه وسكتوني بتريقه الحجز والكان الكنب جلد استغربت مره انا زبون دايم في رامادا  دايم ممتاز اما رامادا الشارقه والبلاط منتهي الصلاحيه .,0,0,0,0,1,1,1,1,negative
“اسواء اقامه فيه”. الموقع فقط ومساحة الغرفه. جميع التجهيزات متهالكه ولا تعمل الخزانة لا تعمل الشاور خربانانقطعت المياه لمدة يومينالثلاجة معطلهتم إغلاق المسبحسيى بكل مافيهالاستقبال غير متعاونينالصيانه غير متعاونين,0,0,0,1,1,0,1,0,negative
“كارثيه”. لم يعجبني شي. اسوء مكان مر علي تعامل سيء مناشف مافي حتى ماء للشرب ماحصلت الغرفه شكله سيء جدا عكس الصور الموجوده بالبوكينق الروم سيرفس سيء جدا الاستقبال هو اسوء السيئين تجربه جدا سيئه عشتها في هذا الفندق,1,0,0,0,0,1,1,1,negative
“ابتعد عنها قدر الامكان”. القرب من الحرم. الارتفاع الشديد في مدخل الفندق / رائحة الغرف ودورات المياهغلاء الغرفه الفاحش مقابل قمامه اعزكم الله ٢٧٠٠ ريال لغرفه واحده لليله واحده وندمت مصعد مزدحم عماره قديمه اسره غير مريحه,0,0,0,0,1,1,1,1,negative
“لا انصح به أبدا”. لم يعجبني اي شي لا انصح به أبدا. الطاقم غير متعاون الرسيبشن يكذبون على الزباينانقطاع الماء,0,0,0,1,1,0,1,0,negative
“سيئ للغايه ولاينصح للعرسان ابدا وهمهم الفلوس بدون خدمه وقديم الفندق”. لم يعجبني شي. تعاملهم استخفافهم بالنزلاء وهمهم الماده فقط,0,0,1,0,1,0,0,1,negative
مخيب للأمل. . الاسره منفرده والطلب الاصلي سرير واحد,0,0,0,1,0,0,0,0,negative
يتأخر جدآ,0,1,0,1,0,0,0,0,negative
ضعيف جداً. . بصراحه اسوء تجربه في هوتيلات دبيمعاملة الستاف كانت سيئة ولم اشعر باي ترحيبخصوصا من الشخص الذي قابلته في الريسبشن وقام بعمل اجراءات الدخول اسمه زين والمفاجاءه انه المدير الليلي للهوتيل وعند استخدامي الهاتف والاتصال محليا بخطوط طيران الامارات في دبي اي انها مكالمة داخليه تم محاسبتي علي الاتصال وبقيمة 60 درهم اماراتيو,1,0,0,0,0,1,1,1,negative
“يستحق التكرار والسكن مره أخرى إذا تحسنت خدمت النت الضرورية”. السرير مريح مرافق الغرفة جميل. الإنتر نت سيء للغاية وحدث كثير من شكاوي الزبائن في الإستقبال بل وتنعدم الإشارة للاتصال أحيانارغم تجربتي السكن بغرف مختلفه,0,0,0,0,1,1,1,1,negative
ضعيف. . 1- سائقي التوصيل أخلاقهم سيئة وغير متعاونين.2- موظفي الإستقبال غير متواجدين أثناء طلبهم بالهاتف.,0,0,0,1,1,0,1,0,negative
مخيب للأمل. الموقع قريب من محطة المترو. الفندق بشكل عام والعاملين فيه,0,0,0,0,0,0,1,1,negative
ضعيف جداً. للاسف ماعجبني شي. وصخخخخخين مره ومقرفين الحمام مليان حشرات والغساله وصخه كلها قرف والبانيو فيه دم وقرف ولما قلنالهم غيرو الغرفه جووو يتفلسفون وبعدها غيروها ومع الاسف كمان وصخه وقذره,0,0,0,0,1,1,1,1,negative
“فندق سيء جداً لايستحق نجمه واحده”. لاشيء. جميع الخدمات الفندقيه المفروض تواجدها اللتي طلبتها لم توفرالمطعم وخدمه الغرف سيئه والاكل سيء وعالي السعر طلبت افطار ولم يحضروا لي خبز مع الافطار واوضحوا لي ان اذا اردت خبز يجب ان تدفع مقابل الخبز والنت بفلوس وهو لايعمل بالاصل(متعطل)والاسره والمفارش غير مريحه ابداً ابداًخساره ان تدفع ريال واحد بهالفندق والله على ما اقول شهيد,1,0,1,0,0,1,0,1,negative
“لابأس به”. لاشيء. تعامل الموظفين واحتساب المشروبات اللي بداخل الثلاجه بغير وجه حق,0,0,0,1,0,0,1,0,negative
سعر التوصيل غير مناسب,0,1,0,1,0,0,0,0,negative
مخيب للأمل. . الاكل جدا غااااااااااااااااااااااااااااالي,0,0,0,1,0,0,0,0,negative
ضعيف جداً. . اولا لا يتوفر مكان لركن السياره و ده شئ صعب جدا و مستوى نضافة الغرف مش كويس,0,0,0,1,1,0,1,0,negative
مخيب للأمل. قد تكون ابتسامة طاقم الاستقبال هي افضل ما ينطبع بالذاكرة في تلك التجربة. مستوى الفخامة و النظافة متواضع جدا قياسا على  السعر المرتفع ايضا مساحات الشقق جدا ضيقة و لا يوجد سوا دورة مياه واحدة تخدم غرفتي نوم لاربعة اشخاص كأقل تقدير ناهيك ان الأسر سيكون لديها اطفال و خادمة .. يحتاج الموضوع إلى اعادة نظر جادة لكي يكون جديرا برضى الزبائن الذين اعتادوا على خدمات متكاملة باسعار اكثر منطقية,0,0,0,0,1,1,1,1,negative
“لن اكرر تجربة النزول فيه”. سوءالاستقباللايوجد غير موظف استقبال غير مبالى.امكانيات المكان ضعيفه جدا. بالكاد تطلب حمال للحقائب او عامل نظافه.الشراشف والمخدات قديمه وباليه.,0,0,0,1,1,0,1,0,negative
فى اية كل ما انزل البرنامج مش راضى ينزل يقولى عاوز تحديث ممكن اعرف المشكلة فين,0,0,1,1,1,0,0,0,negative
“فندق مريح لكن صادف وجودنا فيه وجود صيانة وتركيب مصاعد فانزعجنا”. الغرف مريحة وواسعة. الاسرة الاضافية سيئة بمعنى الكلمة عدم تجاوب الخدمة لما يطلب منهم من خدماتعدم التزام العمالة برتكولات النظافة من لبس قفازات واستخدام الادوات فكان العامل يعمل في نظافة دورات المياه بيده مباشرة لفتح غطاء البالوعة وسط مياة متجمعة في الحمام ميول بلاط الحمام لا يساعد على تصريف المياه من ارضية الحمام ويجمعها ولا توجد مساحات للتخلص منها,0,0,0,0,1,1,1,1,negative
سرقة فى الباقة والنت بيفصل بالثلاثة ايام ويرجع ويفصل تانى اسوء شركة ممكن تتعاقد معاها,1,0,0,0,0,0,1,1,negative
“the worst apprmant have been taken اسواء مكان اخذة في حياتي”. The location only فقط الموقع. very bad bad room كل شي سئ الغرف وصخهالاسره غير نظيفه غير أمن للأطفال دورة المياه سئوتوجد ريحه كريهالواقع غير الصورة,1,0,0,0,0,1,1,1,negative
ضعيف. لا شيء اعجبني. اُسلوب الموظفين خاصه اللي في البدالة والاكل ابدا مب اوكي. ومشغلين لفت واحد وكل الزباين يتريون مول ماعيبني للأسف,0,0,1,0,1,0,0,1,negative
سئ في التعامل مع الموظفين,0,1,0,1,0,0,0,0,negative
“منتجع النخيل للشباب”. النظافه فقط. للاسف منتجع شباب وليس منتجع للعوايل ولا فيه راحة خصوصا وقت الليل  ،,0,0,0,1,1,0,1,0,negative
“ازفت فندق مر علي في حياتي”. . الخدمات بشكل عام  ورائحة الدخان في كل مكان كذالك تعطل قفل باب الغرفه وجلسنا حوالي الساعه عشان يفتحونه لنى وكنا جالسين في الممر قدام الناس وبعد مافتح الباب جلسو يوم كامل عشان يصلحونه,1,0,0,0,0,1,1,1,negative
“أقل من المتوقع”. هدوء الموقع جيد. سيء النظافة ،  يحتاج صيانة ، الطاقم يحتاج زيادة العدد والتدريب، البوفيه لا يرضي جميع الأذواق,0,0,0,0,1,0,1,1,negative
“أقامه جميله ويفترض الأسعار لاتتجاوز ال٣٥٠ريال والمكيفات مزعجه ويستحسن تعديلها إلى مركزي”. الشقق الملكيه. التكييف والحمامات صغيره وباب الحمام لايغلق بسهوله وخصوصا السويت رقم ٣٢١,0,0,0,0,1,0,1,1,negative
"مخيب للأمل. لديهم توصيل للحرم , الموقع بعيد عن أماكن الزحام , جميل لمن لديه عمل في مكة ويريد أن يكون في منطقة قرب الحرم وبعيدة عن الزحام. الموقع غير واضح أبداً , المواقف جداً سيئة فهي خلف المبنى والباب الخلفي غالبا مغلق وتنتظر لوقت طويل حتى يجدوا من معه المفتاح لكي تخرج !! , لايوجد أي خدمات بالفندق لا كوفي شوب ولا مطعم ولا أي حتى ماء !لايوجد مني بار بالغرفة والثلاجة فارغة , الغرف جدا جدا ضيقة لدرجة أنه لايوجد مكان للصلاة إلا لشخص واحد , مرحاض دورة المياه -أعزكم الله- سيء وقذر , الصابون والشامبو المستحدم في دورات المياه نوعية رديئة جدا جدا !!مجموعة ايلاف مجموعة متميزه وسبق أن جربت عدة فنادق لهم ولكن هذا يبدوا أنه مجرد اسم فقط !!!",1,0,0,0,0,1,1,1,negative
“اسوء مكان للاقامة ولايستحق نجمة واحدة وادارة نصابة”. لاشيئ سوي الموقع. بدءا من الاستقبال ومستوي التحدث ردئ علاوة علي عدم التزامهم بالاسعار ومخاولة اخذ اموال ازيد ومستوي نظافة سئ للعاية لايصلح للعائلات.تم تصوير كاتل الشاي بعد اكتشاف صدأ داخله واستعملناه مع الاسف لم نتوقع وجود هذه القذارة مرفق الصورة.للاسف لم انتبه لتقييم من قبلي,1,0,0,0,0,1,1,1,negative
ضعيف. اعجبني الفندق لانه جديد والعزل الجيد بين الغرف. لاتوجد مواقف للسيارات والانترنت ضعيف والمني بار لايوجد به شي واسعار الخدمات مثل الغسيل والافطار غاليه جدا,0,0,0,0,1,0,1,1,negative
مخيب للأمل. الموقع بشارع جيد وغير بعيد عن المسجد الحرام. - النظافة تحتاج الى تحسين- الغرفة غير هادئة حيث ان وحدات التكييف متلاصقة مع الشباك الوحيد بالغرفة والزجاج غير عازل للصوت- الاستقبال مشغول 24 ساعة- الاثاث قديم .- لا توجد أى إشارة للواى فاى بالغرفة,0,0,0,0,1,1,1,1,negative
ضعيف. المسبح. السعرالموقع مع التفتيش,0,1,0,1,0,0,0,0,negative
“كيف حصل هذا الفندق على اربع نجووم”. سعة مساحة الشقة. وجودها في مكان بعيد عن كل شي سوى الشاحنات والورشات. حصولها على اربع نجوم وليس اهل لذلكالمكيفات القديمه المزعجهلا يوجد افطار ولا مطاعم قريبه او بقالات,0,0,0,0,1,1,1,1,negative
مخيب للأمل. الفطور كان جميل واللوبي وسيع وهادئ ومكان الفندق مميز جدا اغلب الغرف يوجد بها اطلالات وبلكونة وهذا شيء مييز جدا والمسبح موقعه اعطى للفندق اسلوب مختلف عن باقي الفنادق. الاثاث متهالك جدا والمكيف في الغرف غير بارد والمرتبة في الكرسي غير مريحه ومزعجه في النوم وموضف الخروج تعامله غير محترم وزعل لانني طلبته فاتوره تفصيلية لكي اعرف ماذا حسب وكم القيمة بالرغم انني لم اعترض على اي سعر وكنت اكلمه برقي,0,0,1,0,1,1,0,1,negative
للاسف صار سيء جدا اذا الصفحة بطلت تفتح وكل مرة احذفه وارجع انزله منشان ترضى تفتح حتى الطلبات اخر فترة بتوصل بتختلف عن اللي موجود بالصفحة ومثل ما الواحد متوقع وكمان صرت بتطلب الطلب وبتستنا ساعة وبعطيك انه قرب من موقعك وبالاخر ما برد عليك وما بسلمك الطلب وعلى نظام بعطيك انه تم التسليم وانت ما بتكون مستلم,1,0,0,0,0,1,1,1,negative
ضعيف. . الاستقبال في الفندق سيء جدا و غير متعاون والحجج واهية يتم افادة النزيل بالرد خلال لحظات و للاسف يتم تجاهل العميل. الاستقبال في اغلب الاوقات لا يتم الاجابة على الهاتف مما يضطر بالعميل بالنزول و التفاهم معهم. الأسعار مبالغ فيها بشكل كبير خصوصا أن الفندق ليس من فئة 5 نجوم. استلام السيارة للمواقف و اعادتها للنزيل تستغرق اكثر من نصف ساعة. الانترنت سيء جدا في الغرف سواء شبكة الاتصالات أو الانترنت الخاص بالفندق. تجربة سيئة جدا جدا مع الفندق.,1,0,0,0,0,1,1,1,negative
“موقع مميز يحتاج الى تغيير الاثاث واهتمام العاملين وزياده في الخدمة”. اثاث الفندق قديم جدا وخاصه الفرش ومرتب الاسرةويحتاج الى تغيير. موقع البوفيه صغير مقارنه بعدد النزلاء وكذلك الخدمةً في البوفيه ضعيفه جدا واحيانا معدومة,0,0,0,0,1,1,1,1,negative
“السمعة احياناً تكون مظللة، فهذي تجربة لن تتكرر لي وسأنصح جميع من اعرف بعدم السكن في بودل”. موقع الشقق- اتساع الجناح- طاقم الاستقبال. تم حجز جناح غرفتين نوم احدى الغرف لا يوجد به دولاب ملابسالجناح يبدو ان الغبار صديق ملازم له فجميع الطاولات والدواليب وعلاقات المناشف كانت نظافتها سيئة جداً المكيفات شباك وتكييفها سيءلا يوجد حامل للشامبو وجل الاستحمام مكان الاستحمام لا يوجد له عازل فعندما تستحم فالماء يغطي كامل الحمام جناح من غرفتين نوم ويوجد فيه ٣ فناجين قهوة  ٣ بيالات شاهي فقط ,0,0,1,0,1,1,0,1,negative
“لا تستأجر في لؤلؤ ليمار”. لا شيء. رائحة الشيشة في كل مكان .موظف الاستقبال سعودي تعامله سيء جداً جداً وفترة دوامه من الساعة ٩ الصبح إلى ٤ العصر .ضيق الغرف .ضعف الانترنت .سوء النظافة .ضيق دوراة المياه وسوء نظافتها .الحشرات في كل مكان .سوء خدمات الغرف .,1,0,0,0,0,1,1,1,negative
"ضعيف. اعجبني موقع الفندق فقط. الفندق غير نظيف الزل قديم ودورة المياه غير حديث ,السرير صغير الحجم , لايوجد اي شي في الثلاجه حتى الماء ماشي ,الخدمه معدومة ,وغالي ليش لااعرف.",0,0,1,0,1,0,0,1,negative
“ماعجبني الغرف ولا الافطار ماعدا موقعه وقربه للحرم”. قربه من الحرم فقط. الافطار عبارة عن معلبات فواكه ومشروم  ومخللات واجبان وزيتون ولكن المعجنات كانت جيدةالاكل لا يليق لفندق ٥ نجوم الحجرة ضيقةمطلة عالمباني الجانبية haram side viewالنظاقة لا تليق بفندق خمس نجوم القنوات الفضائية ليست جيدة,0,0,0,0,1,1,1,1,negative
مخيب للأمل. طاقم العمل (الإستقبال فقط). التكييف مزعج والغرف تصميمها سيء جداً,1,0,0,1,0,0,1,0,negative
ضعيف جداً. . عند استلام الغرفه كان الباب الخارجي الرئيسي للجناح الملكي مكسور لايغلق والشراشف ودورات المياه كانت غير نظيفه وروائح كريهه في الجناح وصالة المعيشه لايوجد فيها كنبات ولا طاوله ولا تلفاز ولا حتى تليفون والمكيف عطلان مجرد غرفه بأربع جدران,0,0,0,0,1,1,1,1,negative
“الكذب والخداع”. لم يعجبني سوى الزخارف الرخامية والديكورات. الغرفة طلبتها مطلة على الحرم تفاجأة انها مطلة على اعمال حفريااات في وعمالة وطول اليوم كانت مزعجة جداً والغرف غير عازلة للصوت تفاجأة انها بعيدة عن الحرم للصلاة فيه كونها يفصلها عن ساحة الحرم طريق مزدحم بالسيارات والعمالة التي تعمل بالتوسعة وعند مناقشة الاستقبال في ذلك لم يكن التجاوب بالشكل المأمول وقمت بالاتصال بخدمات العملاء بوكينق وكان التجاوب معي اكثر من رائع,0,0,0,0,1,1,1,1,negative
“الصبر طلبا للاجر”. . عدم الزام بعض السكان بالتقيد بانظمة الاقامة من عدم الازعاج وخصوصية الغير وغيرها وبالذات من الرافضة  كذالك لايوجد مطعم ولا مسجد مجهز بشكل جيد وبعيد عن الازعاج  كذالك لابد بان يكون لمن استاجر غرفتين جنب بعض ان يقفل الباب الخاجي بحيث تكون غرفتين بباب واحد وهذا يساعدكم في الضبط كذالك عندانتهاء اجار اليوم يتم التصال على النزيل ويخبرهم بانه سوف يجدد يتم ازعاجه وقد يكون متعب اونائم يتم الاتصال بتلفون الغرفة واذا لم يرد يرسل احد العمال والازعاج بالجرس طيب لماذا مايتم الاتصال بالجوال والعمال لاتراهم الا اذا كان النزيل بيسكن او يخرج بس لانه سوف يحصل على بعض المال من النزيل اما عند النظافة فيقال بان النظافة من الساعة تسعه الصباح الى تسعه المسأء وهذا لايخدم الفندق في سمعته كذالك يمنع البقالة التوصيل داخل الفندق كذالك نوعية مراتب الاسرة غير جيدة النائم يشعر كأنه في حفرة كذالك توضع المراتب في الممرات لعدة ايام ومؤكد انها تضايق النزيل الخلاصه 1-الاهتمام بضبط النزلاء وبالذات الرافضة من عدم مضايقتهم للاخيرين 2-الاهتمام بعدم ازعاج المزيل من الموضف 3- النظافة 24 ساعة,0,0,1,0,1,1,0,1,negative
“عادي جدا”. الموقع وسهولة الوصول للفندق. الشقق ليست كما تبدو في الصور، فالاثاث قديم وليس نظيفا ولا توجد أدوات كافية في المطبخ، والمسبح والجيم صغير جدا، وحصلت مشكلة لدى الحجز تم حلها بتغيير الغرفة ودفع مبلغ اضافي.,0,0,0,0,1,1,1,1,negative
“التقييم غير صادق و صادم”. متوسط ولا يستحق تقييمه العالي لن اكرر السكن فيه مرة أخرىمدمج ان معه افطار وكلمتهم الساعة السابعةقالو ٧:٣٠و بعد ما حضرت في الوقت المحدد قالوا تم تأجيله اقمت يومين كاملين ولم يتم التنظيف مع العلم انني طلبت ذلك بدون استجابة الثلاجة فارغة وصغيرة جدا مقارنة مقارنة لشقة بغرفتين. ,0,0,0,0,1,1,1,1,negative
جيد. . عند دخولي للفندق كانت معامة موظف الاستقبال سيىه جدا حيث انه حول ان يحسب علي أشياء ماكنت أريده  انا لن زرور هذا الفندق مره آخراً وهي الاول والاخيرة كانت من سوي المعمالة لي في حياتي لقد قمة بزيارة كثير من الفندق ولقد صدمني المعامله,1,0,0,0,0,1,1,1,negative
استثنائي. الخدمة بشكل عام. قيام البعض من الناس في ركوب القارب وهم غير مقيمين في الفندق وعلى سبيل المثال دخولهم من سوق بيري دون أي رقابة بذلك مما يسبب بطول الإنتظار .,0,0,0,0,1,0,1,1,negative
“لست سعيدا في الحجز في فندق الهلتون للأسف”. . كانت الخدمه والاستقبال جدا سيئة والسعر مرتفع مقابلة ذلك لا أفكر ابدا فيه الحجز في هذا الفندق,0,0,1,0,1,0,0,1,negative
“فندق فاشل”. . فشل مركز . مافي خدمة غرف يعني خذ العربيه و حط شناطك و انت شاطر?طلبت ٤ شاي من الفندق اخذ ١٠ درهم للتوصيل و بالاخير جابه لي بكيس  ، سألته ليش بكيس قال لان ما في توصيل للغرف  ، قلت له طيب ليش تاخذ ١٠ درهم للتوصيل !! الزبده فاشل و بقوه,0,0,0,0,1,1,1,1,negative
“اسوء من السيء”. . التكييف باااارد جدا او حار جدا السرير غير مريح يوجد أصوات بناء طول الوقت وعند السؤال أخبرونا انها للسبا سوْال السكيورتي لنا كل وقت من أنتم وأي غرفهالحوض للأطفال بارد جدا التأخير في إرسال الخدمة للغرفه,1,0,0,0,0,1,1,1,negative
ضعيف. الموقع. سوى النظافه في الجناح والممرات ومواقف السيارات وتم نسيان مكوه في الجناح ولم احد يتصل علينا,0,0,0,0,1,0,1,1,negative
إلغاء الطلبات بالهبل,1,1,0,1,0,0,0,0,negative
“اسوأ تجربه للسكن في الرياض”. ﻻشئ ابدا فقط الشكل الخارجي. سوء الخدمه سوء النظافه سوء التجاوب مع الطلبات مشكلة بسيطه حصلت لم يتجاوبوا معها اﻻ بعد ساعتين تقريبا فقررت الخروج من الفندق,0,0,1,0,1,0,0,1,negative
“تجربة سيئة للغاية”. الموقع فقط. كل شئ عدا الموقع الغرفة ضيقة للغاية، غرفة متهالكة، افطار بسيط، احتراق الاباجورة، مقبض الباب مكسور،  بالاضافة لدخول عامل الفندق للغرفة بمفتاحه بدون استئذان,0,0,0,0,1,0,1,1,negative
“محمد”. المكان بعيد جدا عن الاماكن السياحية في جدة و الازعاج عالي جدا بسبب بناء مجاور للفندق و النظافه عاديه و الفرش قديم و مهترئ و غير مطابق اطلاقآ للصور الموجودة في الموقعيعني من الاخر جماعه كذاببن و اسعار غالية مررررررة ع خدمات ضعيفه. العفش سئ جداالازعاج عالي جدابعييييييد جدا عن الشاطئ,0,0,0,0,1,1,1,1,negative
“Bad”. . رائحة الغرفه التي تم حجزها باسمي تفوح منها رائحة دخان السجائر بالرغم من انها في قسم غير المدخنين ولدي طفل كان يعاني من الربو مما ادى الى تأزم حالته .حرارة المكيف لم تكن ثابته مما ادى الى اصابتنا بالتهاب فالحنجره .خدمة الغرف لم تكن بالمستوى المطلوب في توفير اغطيه الاسره.,0,0,0,0,1,1,1,1,negative
“الفندق عادي جداً ، وسعره مبالغ فيه”. قربه من امارات مول فقط. تكيف الغرف سيء جداً في اكثر من غرفة الصالة فقط !!,1,0,0,0,0,0,1,1,negative
“أسوء فندق أقمت فيه في حياتي، فندق لا يرتقي لخمس نجوم”. لا شئ. تأخر أستلام الغرفة 11:30 ليلاً ، أستقبال سئ جداً ، غرفة كئيبه وأثاث قديم ، خدمات سيئة وكل شئ لا يوجد ، تنظيف أقل من مستوى ، خدمة ركن السيارة واستلامها ضعيفة جدً .,1,0,0,0,0,1,1,1,negative
ضعيف. سرعة تسجيل الدخول والخروج. تعامل الموظفين رائحة الغرف والحمامات سيئة المفارش كان بها حشرات اصابتني بحكة وحساسية عدم السماح بالزيارات,0,0,0,0,1,0,1,1,negative
“عادي”. لاشي. كلشي سي,0,1,0,1,0,0,0,0,negative
مخيب للأمل. مساحة الغرفة جيدة مواقف السيارات متوفرة. الانترنت ضعيف والاثاث مهترئ وباب الحمام لا يغلق والمناشف قديمة جدا والمراتب قديمة وتصدر أصراتا مزعجة عند أدنى حركةالفندق لايستحق أكثر من نجمتينسكنت في أغلب فنادق المنطقة المركزية الشمالية وهذا الفندق أسوأها,0,0,0,0,1,1,1,1,negative
“تجربه سيئه”. الافطار. النظافة ، ازعاج الصيانه ، الاثاث متهالك ، طاقم عمل سئ,0,0,0,1,0,0,1,0,negative
تغطيه البرنامج لمطاعم السعوديه شي جدا جدا موسف وتاخير ساعه وزياده جربتو ثلاث مرات عشان توقعت الخطا مرا لانو اشوف العالم تمدح واعلانات مبالغ فيها اتمنى في مصداقيه اكثر بالوقت مو معقول يوصلني الاكل بااارد,0,0,0,0,1,1,1,1,negative
ضعيف جداً. للاسف لا يوجد. لا يوجد مواقف داخل الفندق طاقم عمل ضعيف جدا المبلغ المدفوع لا يتوفق مع الخدمه نضافة الغرفه اسوء من السيءالمكيف مزعج للغايه,1,0,0,0,0,0,1,1,negative
ضعيف جداً. . سيئ للغايه ولا انصح فيه ابدا اثاث رديئ ولا يوجد نظافه,0,0,1,1,0,0,0,0,negative
مخيب للأمل. موقع المنتجعوالمسابح. كل شيء عدا ماسبق سيء جداً للغاية فلانظافة ولا أثاث ولا شيء يوحي أنك في فندق يصنف أنه فندق أصلاً فضلاً عن كونه ٤ نجوم!!!وكثير جداً عليه ٥٠٠ ريال بالليلة فكيف تكون ب ١٨٠٠ ريال ؟؟!!,1,0,0,0,0,1,1,1,negative
“سيء”. . موظف الاستقبال غير مؤهل التنظيف سيءالخدمه سية,0,0,0,1,0,0,0,0,negative
“من اسوء الفنادق التي سكنت”. نظافة الغرفة. لم يتم الانتهاء من تنظيف الجناح وتسليمه الا الساعه السادسه مساء والعذر بأنه غير جاهز وطلب مني الاخلاء اليوم التالي الساعه ٢ و عندما اشتكيت لمدير الاستقبال السيئ للاسف عن الخطأ السابق قال خلاص نقسمها بالنص تخلي الاخلاء ٤ سبحان الله وكذلك المني بار فاضي تماما والمناشف خاصه بالاطفال صغيره جدا كذلك حوض الاستحمام صغير,1,0,0,0,0,1,1,1,negative
ضعيف. . اول يوم انقطعت الكهرباء لمدة ساعه في الصباح ويومين اطلب من الاستقبال تنظيف الشقه لاحياة لمن تنادي وريحة مجاري في الشقه 505 اللي جلسنا فيها والشقه تحتاج صيانه لانه الاشياء اللي في الحمام تطيح يعني بصراحه تجربه سيئه والمفروض التقييم من الجميع يكون بامانه لانه بنعتمد علي الله ثم التقييم في اختيار السكن,0,0,0,0,1,1,1,1,negative
“إقامة غير مريحة لانقطاع وسائل التواصل الاجتماعي والأخبار .”. نظافة الفندق بشكل عام والهدوء في الأروقة.. تناقض الخدمات المدونة في موقع الحجز عن الواقع ، كمثال: تتوفر خدمة الواي فاي مجانا في الفندق،والواقع أنه لا يعمل البته ، وسألت أحد الموظفين عنه فقال : النت يعمل بشكل مؤقت ويتعطل دائما.وعندما شكوت إلى موظف الاستقبال رد : بأن خدمة الواي فاي غير مذكورة في الموقع!!!مثال آخر : يبعد الفندق عن الحرم ٢٠ سيرا على الأقدام ، والواقع أنه يبعد قرابة الساعة أو أكثر ، بغض النظر عن الباص الذي من المفترض أن يوصللنا إلى الحرم ولكن فائدته قد تكون معدومة نظرا لأنه يقطع مسافة لا تذكر ونضطر لاستكمالها سيرا على الأقدام بما يزيد عن ٤٥ دقيقة.نرجو المصداقية في المعلومات المقدمة للزائرين والمعتمرين وعدم استغلالهم بالخدمات الغير متوفرة,0,0,0,0,1,1,1,1,negative
“الحجز والواقع السيء”. لا يوجد غير الواي فاي. ١- عدد الاسرة والغرف عكس الحجز٢- النقل سيئ المواعيد وليس كافي من والى الحرم٣-اعتقد يفترض ان يصنف نجمه او على الأكثر نجمتين٣- كل غرفة فيها ٤ أسرة كأنها سكن عمال٤- انا حجمت ١٥ سرير ولا وفروا الا ١٢ سرير مما اضطررنا ان نستأجر شقة وجزء منا سكن الشقة على أطراف مكة٥- تعامل الاستقبال بلا مبالات وكذلك العاملينالمطعم٦- أسعار الغسيل غالي جداً٧- تنظيف الغرف صعب جداً ان تحصل عليه الا بشق الأنفس,0,0,0,0,1,1,1,1,negative
جميل جدا و لكن ليس لديهم مطاعم كثيره مثل ماكدونالدز ارجو حل المشكله,0,0,0,1,0,0,1,0,negative
“مشكلة التنظيف غير حريص على الخدمة وليس هناك متابعة حتى لوجلست الغرفة يومين بدون نظافة ليس هناك مشكلة”. طاقم الاستقبال. التنظيف والمطعم يتجه للتقشف بشكل مزري,0,0,0,1,1,0,1,0,negative
“لاتقيم في القذاره”. سي جدا جدا وخرجت وباقي فلوسي لم ترجع لي. موظف الاستقبال اسماعيل خايس وقح,0,0,0,0,1,0,1,1,negative
